1,74.71,1
1,77.35,2
1,77.35,3
1,76.47,4
1,77.35,5
1,78.23,6
1,77.35,7
1,78.23,9
1,78.23,10
1,78.23,11
1,78.23,12
1,78.23,13
1,78.23,14
1,79.11,15
1,79.11,17
1,79.11,18
1,79.11,19
1,79.11,20
1,79.11,21
1,79.99,22
1,79.11,24
1,79.99,25
1,79.11,26
1,79.99,27
1,79.11,28
1,79.99,29
1,79.99,30
1,79.11,32
1,79.99,33
1,79.99,34
1,79.99,35
1,80.87,36
1,79.99,37
1,79.99,38
1,80.87,40
1,80.87,41
1,79.99,42
1,79.99,43
1,50.98,44
1,80.87,45
1,80.87,47
1,80.87,48
1,80.87,49
1,80.87,50
1,80.87,51
1,80.87,52
1,80.87,53
1,80.87,55
1,80.87,56
1,81.75,57
1,81.75,58
1,81.75,59
1,81.75,60
1,81.75,62
1,81.75,63
1,81.75,64
1,81.75,65
1,81.75,66
1,81.75,67
1,81.75,68
1,80.87,70
1,81.75,71
1,81.75,72
1,81.75,73
1,81.75,74
1,82.62,75
1,81.75,76
1,81.75,78
1,82.62,79
1,82.62,80
1,82.62,81
1,81.75,82
1,81.75,83
1,81.75,85
1,82.62,86
1,82.62,87
1,82.62,88
1,82.62,89
1,82.62,90
1,82.62,91
1,82.62,93
1,82.62,94
1,82.62,95
1,82.62,96
1,82.62,97
1,83.50,98
1,82.62,99
1,83.50,101
1,83.50,102
1,83.50,103
1,83.50,104
1,83.50,105
-1,83.50,106
-1,83.50,108
-1,82.62,109
-1,82.62,110
-1,82.62,111
-1,83.50,112
-1,83.50,113
-1,83.50,114
-1,83.50,116
-1,82.62,117
-1,83.50,118
-1,84.38,119
-1,83.50,120
-1,84.38,121
-1,84.38,123
-1,83.50,124
-1,84.38,125
-1,83.50,126
-1,84.38,127
-1,84.38,128
-1,84.38,129
-1,84.38,131
-1,84.38,132
-1,84.38,133
-1,84.38,134
-1,84.38,135
-1,84.38,136
-1,84.38,137
-1,84.38,139
-1,84.38,140
-1,84.38,141
-1,84.38,142
-1,85.26,143
-1,84.38,144
-1,85.26,146
-1,85.26,147
-1,84.38,148
-1,85.26,149
-1,84.38,150
-1,85.26,151
-1,85.26,152
-1,84.38,154
-1,84.38,155
-1,85.26,156
-1,85.26,157
-1,85.26,158
-1,85.26,159
-1,84.38,160
-1,85.26,162
-1,83.50,163
-1,85.26,164
-1,85.26,165
-1,85.26,166
-1,85.26,167
-1,85.26,169
-1,85.26,170
-1,85.26,171
-1,85.26,172
-1,85.26,173
-1,85.26,174
-1,85.26,175
-1,85.26,177
